bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Equinix,equinix.com,geraden en bevestigd,Regional Customer Success Management - Enterprise,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/regional-customer-success-management-enterprise-at-equinix-4467605803,customer happiness
Essity,essity.com,geraden en bevestigd,Customer Facing &amp; Order Management Representative,2026-08-28,Zeist,1,nee,https://nl.linkedin.com/jobs/view/customer-facing-order-management-representative-at-essity-4458075797,klantenservice medewerker
Europe Cycle Company,europecycle.com,geraden en bevestigd,Klantenservice/Aftersales,2025-12-03,Aalsmeer,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-aftersales-at-europe-cycle-company-4341551459,klantenservice medewerker
Evers Kassasystemen bv,evers-kassasystemen.nl,geraden en bevestigd,Junior Support Medewerker,2026-08-27,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/junior-support-medewerker-at-evers-kassasystemen-bv-4457744746,webcare medewerker
Eye Security,eye.security,geraden en bevestigd,Customer Success Manager Netherlands (m/f/x),2026-09-01,Rotterdam and The Hague,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-netherlands-m-f-x-at-eye-security-4442097035,customer happiness
Facilicom Groep,facilicom.nl,geraden en bevestigd,Senior Digital Marketeer,2026-09-18,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/senior-digital-marketeer-at-facilicom-groep-4469172168,webcare medewerker
Farm Frites,farmfrites.com,geraden en bevestigd,Customer Service Medewerker,2026-09-19,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-farm-frites-4441375026,klantenservice medewerker
Felix NL,felix.nl,geraden en bevestigd,Customer Service Representative Belgium &amp; Luxemburg,2026-09-20,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-belgium-luxemburg-at-felix-nl-4468447647,klantenservice medewerker
Findwhere,findwhere.com,geraden en bevestigd,Growth Marketeer,2026-09-14,Noordwijk aan Zee,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-findwhere-4467089736,webcare medewerker
Flokk Nederland,flokk.com,geraden en bevestigd,Customer service medewerker Benelux,2026-07-27,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-benelux-at-flokk-nederland-4445900924,klantenservice medewerker
Forbo Group,forbo.com,geraden en bevestigd,Website Specialist,2026-09-09,Assendelft,1,nee,https://nl.linkedin.com/jobs/view/website-specialist-at-forbo-group-4465066016,webcare medewerker
Fortezza Groep,fortezza.com,geraden en bevestigd,Servicedesk Medewerker,2026-08-26,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-fortezza-4459307317,webcare medewerker
Funda,funda.nl,geraden en bevestigd,Frontend Developer,2026-09-17,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/frontend-developer-at-funda-4458164601,webcare medewerker
